	ABL2	ACVR2A	AFF3	ALK	AMER1	APC	ARHGAP35	ARID1A	ARID1B	ARID2	ARNT	ASXL1	ASXL2	ATF7IP	ATM	ATR	ATRX	BAP1	BCL6	BCL9	BCL9L	BCOR	BCORL1	BRAF	BRCA2	BRD4	CACNA1A	CAMTA1	CARD11	CASP8	CCND1	CCND2	CCNE1	CD79B	CDH1	CDH11	CDK12	CDK4	CDK6	CDKN1A	CDKN1B	CDKN2A	CHD3	CHD4	CHD8	CIC	CLTC	CREBBP	CTCF	CTNNB1	CUX1	DDR2	DDX5	DEK	DICER1	DNMT1	EGFR	ELF3	ELK4	EP300	ERBB2	ERBB3	ERBB4	ERCC2	ESR1	ETV1	ETV5	EZH2	FAS	FAT1	FAT4	FBXW7	FCGR2B	FCRL4	FGFR1	FGFR2	FGFR3	FGFR4	FHIT	FLT4	FOXA1	FOXL2	FOXO1	FOXO3	FUBP1	GATA2	GATA3	GNAS	GRIN2A	GTF2I	H3F3A	HEY1	HIST1H3B	HLF	HMGA2	IDH1	IDH2	IKBKB	IKZF3	IL7R	INPPL1	IRS4	JAK1	JAK3	KANSL1	KAT6A	KDM5A	KDM6A	KDR	KEAP1	KIT	KLF5	KMT2A	KMT2B	KMT2C	KMT2D	KRAS	LPP	LRP1B	MACF1	MAP2K1	MAP2K4	MAP3K1	MAP3K13	MDM2	MDM4	MECOM	MED12	MET	MGA	MITF	MSI2	MTOR	MYC	MYCL	MYH9	NCOA2	NCOR1	NCOR2	NF1	NF2	NFATC2	NFE2L2	NIPBL	NKX2-1	NOTCH1	NOTCH2	NRAS	NRG1	NSD1	NTRK1	NTRK3	NUTM1	PBRM1	PBX1	PDGFRA	PIK3CA	PIK3CB	PIK3CG	PIK3R1	PLXNB2	POLE	POLQ	PPM1D	PPP2R1A	PRDM1	PREX2	PSIP1	PTEN	PTPN13	PTPRB	PTPRC	PTPRK	PTPRT	RAC1	RAD21	RAF1	RANBP2	RARA	RASA1	RB1	RBM10	RNF43	ROS1	RPL22	RUNX1T1	SALL4	SCAF4	SETBP1	SETD2	SMAD4	SMARCA4	SOS1	SOX17	SOX2	SOX9	SPEN	SPOP	STAG2	STIL	STK11	TCF7L2	TERT	TET1	TP53	TP63	TRRAP	TSC1	UBR5	UNCX	USP6	USP9X	VHL	WWTR1	ZBTB16	ZFHX3	ZNF521
hsa-let-7a-2-3p	0.0	0.0	0.0	-0.041201	0.0	-0.010828	-2.4943	0.0016941	0.0	0.0	-0.001288	-28.456	0.0	0.0	-3.4287	0.0060716	0.0	0.015396	0.0	0.0	0.0	0.0	42.054	0.0	0.0	0.0	-0.098414	0.0	-12.287	0.0063014	-0.0019101	0.0	-0.00019635	0.0	0.0	0.0	0.0	0.0	172.62	0.0	0.0	0.0	0.0	0.0	0.0	-5.076	-2.578	0.0	0.0	-0.0025666	0.0	22.756	0.0	0.0	0.0	0.0	0.0	-0.0042792	0.0	0.0	0.0	0.0	0.0	-0.088308	0.0	-0.3972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0024112	0.0	2.0302	-0.0034428	0.0	0.0	0.0	4.7096	0.0	0.0	-8.2004	0.0	0.0	0.0	-0.002899	0.0	-49.547	0.0	0.00012097	0.0	0.0	0.0	0.0	0.0	-19.659	0.0	-0.10828	0.0	0.0	-0.0015196	0.0	0.0	-7.6234	4.6894e-05	0.0	-7.7655e-05	0.0	-0.0029955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23204	0.0074372	0.0	0.091142	-0.0464	0.0	0.0	0.0	-0.24073	0.53199	-41.882	0.0	0.0	-0.0010709	-0.0082316	0.0	0.0	0.0	0.0	0.0	0.0	-5.517	-0.00415	-0.30591	0.0	0.0	0.0	31.307	0.0	0.00067671	0.0	68.19	0.0	0.0	0.0	0.0	0.0	-0.014191	-0.0043738	0.0	0.0	3.2044	-2.6066	0.0	0.0	0.0	0.0	0.0	0.0	0.0099634	0.0	0.0	-15.359	0.0	0.0	-4.1341	0.0	0.0	-6.0307	0.0	0.052474	-0.027935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0055794	-23.495	0.014381	0.0	0.0	0.042728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.117	0.0	0.0	0.0	0.0	-0.0027581
hsa-let-7a-3p	-0.049138	0.0	0.0	-0.048753	0.0	-0.0021225	2.9965	0.012074	0.0	0.0	-0.0053789	-31.314	0.0	0.0	-10.747	-0.004017	0.035178	0.0	-0.085179	0.0	0.0	0.0	109.68	0.0	0.0	0.0	-0.11181	0.0	0.0	0.0047317	0.0	0.0	-0.023309	0.0	0.0	0.0	0.0	0.0	43.789	0.0	0.0	0.13695	0.0	0.0	0.0	-3.3961	4.1769	0.0	0.0	0.011149	0.0	0.0	0.0	0.0	0.02852	0.0	0.0	-0.00038098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-10.325	-0.12011	0.0	0.0	0.0	0.0	0.0	-0.055259	-0.004052	0.0	-0.12942	0.0024088	0.0	0.0	0.0	14.167	0.0	0.0	-2.2622	0.0	0.0	0.0	-0.0010422	0.0	17.607	0.0	0.0015326	-0.027344	0.0	0.0	0.0	0.0	-78.085	0.0	0.052883	0.014753	0.0	0.0017176	0.0	0.0	-137.37	0.0	0.0	0.00032476	0.0	-0.0043587	0.0	0.0	0.0	0.0	0.0	0.0	-0.081696	0.0	0.0	0.0070681	0.074398	-0.081408	-0.10193	0.0	0.0	-0.096014	0.0	-0.35493	6.1526	0.0	0.0	-0.0018323	-0.053126	0.0	0.0	0.0	0.0	0.0	0.0	2.2576	0.0037209	0.48955	0.0	0.0	0.0	-79.441	-0.36879	-0.00036985	0.0	-7.4457	0.0	0.0	0.0	0.0	0.0	-0.00090935	0.0059009	0.0	0.0	-12.349	27.435	0.0	0.0	0.0	0.0	0.0	0.0	0.044064	0.0	0.0	-24.446	0.0	0.0	-19.789	0.0	0.0	0.42242	0.0	-0.02477	-0.0048192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.133	-19.052	0.0	-0.093627	0.0	-0.38348	0.0	-0.014233	0.0	0.038618	0.0	0.0	0.0	-0.033085	-0.085051	0.0	0.0	0.0	0.0	0.0	71.762	0.0	0.0	0.0	0.0	-0.0027472
hsa-let-7a-5p	-0.079162	0.0	0.0	0.0	0.0	0.0053592	1.5493	0.010667	0.0	0.0	-0.0049375	-38.519	0.0	0.0	-0.37345	-0.0080579	0.0	0.047322	0.0	-0.0034661	0.0	0.0	-37.711	0.0	0.0	0.0	0.0	0.0	11.163	-0.0025819	0.0	0.0	-0.022544	0.0	0.0	0.0	0.0	0.0	10.412	0.0	0.0	0.0	0.0	0.0	0.0	1.832	-2.9131	0.0	0.0	-0.002508	0.091581	7.4212	0.0	0.0	0.0	0.0	0.0	-0.0017008	0.0	0.0	0.0	0.0	0.0	0.072121	0.0	-4.304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.00091476	0.0	-0.64432	0.0093442	0.0	0.0	0.0	0.0	0.037124	0.0	-18.495	0.0	0.0	0.0	-0.0018968	0.024957	36.048	0.0	-0.0047061	0.0	0.0	0.0	0.0	0.0	-135.01	0.0	0.067856	0.0	0.0	0.0055176	0.0	0.0	0.27388	-0.072523	0.0	0.00025904	0.0	-0.0042894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.001786	0.0	0.054694	0.0	0.0	0.0	0.0	0.0	0.0	-1.7182	0.0	0.0	-8.7457e-05	-0.0129	0.0	0.0	0.0	0.0	0.0	0.0	-6.7781	0.00028691	2.8136	0.0	0.0	0.0	13.638	-0.038325	-0.0011356	0.0	-1.9603	0.0	0.0	0.060726	0.0	0.0	0.0076866	0.0012481	0.0	0.0	-1.5976	13.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0068834	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	-0.53794	0.0	0.00073374	0.0066056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.27919	-15.114	0.0	0.0	0.0	0.0	0.0	0.026956	2.9237	-0.027327	-0.031049	0.0	0.0	-0.054827	0.0	0.0	0.0	0.0	0.0	0.0	-12.74	0.0	0.0080297	0.0	0.0	-0.0011965
hsa-let-7b-3p	0.0	0.0	0.0	0.048709	0.0	-0.0059809	-1.5991	0.021964	0.0	0.0	-0.003244	-48.185	0.0	0.0	-0.31561	-0.0048077	0.0	0.0	0.0	0.0	0.0	0.0	14.098	0.0	0.0	0.0	0.0	0.0	0.0	0.0048948	0.0	0.0	-0.013353	0.0	0.0	0.0	0.0	0.0	9.4678	0.0	0.0	0.0	0.0	0.0	0.0	-1.7319	3.7906	0.0	0.0	-0.017019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0032954	0.0	0.0	0.0	0.0	0.0	1.3673	0.0	-6.6506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0011209	0.0	0.61781	0.0002029	0.0	0.0	0.0	-31.247	0.0	0.0	0.0	0.0	0.0	0.0	-0.0057795	0.0	32.746	0.0	-0.0014392	0.0	0.0	0.0	0.076574	0.0	-49.965	0.0	-0.083184	0.063806	0.0	0.0091288	0.0	0.0	-198.03	-0.085024	0.0	-0.002598	0.0	-0.0012257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00082671	0.1141	0.0055259	-0.028271	0.0	0.0	-0.041648	0.0	0.0	-19.007	0.0	0.0	-0.0053776	-0.028003	0.0	0.0	0.0	0.0	0.0	0.0	4.7269	0.0040719	-1.7018	0.0	0.0	0.0	48.271	-0.1504	-0.0022728	0.0	-5.3002	0.0	0.0	0.0	0.0	0.0	0.011345	-0.0051237	0.0	0.0	-9.8068	13.629	0.0	0.0	0.0	0.0	0.0	0.0	-0.012445	0.0	0.0	-8.4146	0.0	0.0	22.589	0.0	0.0	2.8091	0.0	-0.052883	0.010698	0.0	0.0	0.0	0.0077684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-18.733	0.0	0.0	0.0	0.0	0.0	-0.0085333	70.693	-0.011156	0.0	0.0	0.011494	0.0	-0.050492	0.0	0.0	0.0	-0.33632	0.0	-24.74	0.0	0.0	0.0	0.0	1.2744e-06
hsa-let-7b-5p	0.0	0.0	0.0	0.0	0.0	-0.00037564	0.0	-0.0019979	0.0	0.0	-0.00087007	95.938	0.0	0.0	0.0	-0.0083217	-0.031141	0.053988	0.0	0.0	0.0	0.0	-2.9432	0.0	0.0	0.0	0.0	0.0	0.0	0.0032669	0.0	0.0	-0.020342	0.0	0.0	0.0	0.0	0.0	1.5877	0.0	0.0	0.080846	0.0	0.0	0.0	2.2703	-2.4461	0.0	0.0	-0.026702	0.0	4.2771	0.0	0.0	0.05083	0.0	0.0	-0.0019206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.3248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00087222	0.0	-0.77646	0.0054445	0.0	0.0	0.0	-21.433	0.0	0.0	-17.811	0.0	0.0	0.0	-1.2509e-05	0.0	12.79	0.0	-0.0028152	-0.081909	0.0	0.0	0.0	0.0	-55.97	0.0	0.096019	0.0	0.0	0.0056356	0.0	0.0	-68.399	-0.061232	0.0	-0.0051206	0.0	-0.0026091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11236	-0.0040933	0.11195	-0.019506	0.0	0.0	0.0	-0.0095241	0.0	0.0	-46.683	0.0	0.0	-0.0021244	-0.086202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015474	0.99347	0.0	0.0	0.0	-13.313	0.0	-0.0018508	0.0	0.0	0.0	0.0	0.014744	0.0	0.0	0.01827	0.00010468	0.0	0.0	-19.124	24.074	0.0	0.0	0.0	-0.038827	0.0	0.0	-0.018907	0.0	0.0	-15.173	0.0	0.0	30.373	0.0	0.0	-5.7399	0.0	0.00071837	0.013965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0488	0.0	0.0	0.0	0.0	-0.52563	0.0	0.00063112	38.471	-0.021003	-0.020328	0.0	0.0	-0.024309	0.0	0.0	0.0	0.0	0.0	0.0	30.116	0.0	0.0	0.0	0.0	-0.0011614
hsa-let-7c-3p	-0.00093287	0.0	0.0	-0.0090609	0.0	-0.0078607	-1.9927	-0.0078925	0.0	0.0	-0.0030001	-11.48	0.0	0.0	0.0	-0.00068024	0.11088	-0.062027	0.0	0.0	0.0	0.0	72.371	0.0	0.0	0.0	0.0	0.0	0.0	0.0009028	0.0	0.0	-0.00057836	0.0	0.0	0.0	0.0	0.0	29.169	0.0	0.0	0.0	0.0	0.0	0.0	-1.3586	-4.6619	0.0	0.0	-0.015062	0.0	57.442	0.0	0.0	0.0	0.0	0.0	-0.0019201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.12883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.003016	0.0	1.2729	-0.001247	0.0	0.0	0.0	0.0	0.0	0.064322	0.0	0.0	0.0	0.0	-0.0070047	0.0	-11.582	0.0	0.0017566	0.0	0.0	0.0	0.10339	0.0	-35.903	0.0	-0.028441	0.0	0.0	-0.0019023	0.0	0.0	70.931	0.0	0.0	0.001834	0.0	-0.0042603	0.0	0.0	0.0	0.0	0.0	-0.032333	0.0	0.0	0.0	-0.001679	0.0	0.0054863	-0.042393	0.0	0.0	-0.0054624	0.0	0.0	-4.2162	0.0	0.0	-0.00011531	0.019854	0.0	0.022136	0.0	0.0	0.0	0.0	8.7208	-0.0016348	-2.2727	0.0	0.0	0.0	25.237	-0.28836	-0.0010008	0.0	-7.2364	0.0	0.0	0.0	0.0	0.0	-0.0025816	-0.0011381	0.0	0.0	0.42528	9.7154	0.0	0.0	0.0	0.055528	0.0	0.0	-0.0084106	0.0	0.0	10.723	0.0	0.0	-27.822	0.0	0.0	-1.3605	0.0	-0.042342	0.025219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.3447	0.0	0.0	0.0	0.0	0.0	-0.0023589	-3.1462	-0.065613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.53631	0.0	0.50243	0.0	0.0	0.0	0.0	0.00088487
hsa-let-7c-5p	0.0	0.0	0.0	0.0	0.0	-0.018548	1.3239	-0.011325	0.0	0.0	-0.0030358	-9.3549	0.0	0.0	5.4956	-0.0010082	0.065518	-0.03022	0.0	0.0	0.0	0.0	48.073	0.0	0.0	0.0	0.0	0.0	0.0	-0.0010554	0.0	0.0	0.0019652	0.0	0.0	0.0	0.0	0.0	-49.495	0.0	0.0	0.0	0.0	0.0	0.0	-0.050829	-4.0561	0.0	0.0	-0.019048	0.0	-52.667	0.0	0.0	0.0	0.0	0.0	-0.0019832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.7513	0.0	0.0	0.0	0.0	0.0	0.0	-0.02203	-0.0023028	0.0	-0.9517	-0.0019296	0.0	0.0	0.0	0.20775	0.0	0.0	1.6832	0.0	0.0	0.0	-0.0049249	0.0	-15.141	0.0	-0.00083093	0.0	0.0	0.0	0.0	0.0	88.944	0.0	-0.01855	0.0	0.0	-0.0015732	0.0	0.0	-49.229	0.0	0.0	-0.00080347	0.0	-0.005744	0.0	0.0	0.0	0.0	0.0	-0.052135	0.0	0.0	0.0	-0.00080546	0.0	-0.013026	0.0	0.0	0.0	0.0	0.0	0.0	-10.191	0.0	0.0	0.0012823	-0.032033	0.0	0.014204	0.0	0.0	0.0	0.0	6.5836	-0.0036662	-1.8401	0.0	0.0	0.0	-44.826	0.099169	-0.001311	0.0	-12.93	0.0	0.0	0.0	0.0	0.0	-0.00034402	0.00056067	0.0	0.0	0.0	32.14	0.0	0.0	0.0	0.0	0.0	0.0	-0.030216	0.0	0.0	14.881	0.0	0.0	-33.735	0.0	0.0	-2.1851	0.0	-0.0081712	0.00096964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-11.955	0.02594	0.0	0.0	0.0	0.0	-0.0064852	-14.481	-0.0073962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.22641	0.0	-53.725	0.0	0.041254	0.0	0.0	0.0023991
hsa-let-7d-3p	0.0	0.0	0.0	0.0	0.0	0.01867	0.0	-0.0031992	0.0	0.0	0.0022036	200.28	0.0	0.0	-11.907	-0.00028579	0.0	0.0	0.0	0.0	0.0	0.0	-48.251	0.0	0.0	0.0	0.0	-0.051516	-3.785	-0.0032689	-0.0057512	0.0	-0.0075908	0.0	0.0	0.0	0.0	0.0	-2.5146	0.0	0.0	0.0	0.0	0.0	0.0	-1.6232	0.0	0.0	0.0	-0.011242	0.0	1.4851	0.0	0.0	0.0	0.0	0.0	-0.0015928	0.0	0.0	0.0	0.0	0.0	0.0	0.53113	0.56939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00094576	0.0	0.4035	-0.0017557	0.0	0.0	0.0	18.28	0.0	0.0	9.685	0.0	0.0	0.0	-0.0035274	0.0	14.252	0.0	0.00018548	0.0	0.0	0.0	0.0	0.0	-238.32	0.0	-0.039608	0.0	0.0	-0.0047295	0.0	0.0	-13.825	0.0	0.0	-0.0034126	0.0	-0.0016019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0045586	0.0	-0.094858	0.0	0.0	0.0	0.0	0.0	0.0	43.826	-0.065788	0.0	-0.0032084	-0.018326	0.0	0.0	0.0	0.0	0.0	0.0	3.2723	-8.6927e-05	2.6784	0.0	0.0	0.0	46.56	0.0	0.00063287	0.0	11.348	0.0	0.0	0.0	0.0	0.0	-0.0033505	-0.002179	0.0	0.0	-9.0204	-31.478	0.0	0.0	0.0	0.0	0.0	0.0	-0.024935	0.0	0.0	-4.8417	0.0	0.0	16.762	0.0	0.0	-1.0546	0.0	0.046772	0.0071709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-13.693	0.0	0.0	0.0	0.0	0.0	-0.0022142	-21.595	-0.010748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11462	0.0	86.628	0.0	0.0	0.0	0.0	0.0010919
hsa-let-7d-5p	0.0	0.0	0.0	0.0	0.0	0.0020164	-1.4939	-0.0012307	0.0	0.0	-8.8764e-05	-84.029	0.0	0.0	-6.6778	0.0030594	0.0	0.0	0.0	0.0	0.0	0.0	-66.745	0.0	0.0	0.0	0.0	-0.001142	-10.168	-0.0043272	0.0	0.0	-0.0053898	0.0	0.0	0.0	0.0	0.0	-16.701	0.0	0.0	-0.0072007	0.0	0.0	0.0	-0.51338	6.3771	0.0	0.0	-0.020191	0.10344	15.134	0.0	0.0	0.0	0.0	0.0	0.00063863	0.0	0.0	0.0	0.0	0.0	0.98627	3.593	1.9641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028857	0.0	0.13811	-0.00079182	0.0	0.0	0.0	3.5954	0.0	0.0	8.7017	0.0	0.0	0.0	0.0026797	0.0	10.413	0.0	0.0022746	0.0	0.0	0.0	0.0	0.0	-85.375	0.0	0.022623	0.0	0.0	-0.0026322	-0.037167	0.0	-309.3	0.0098927	0.0	-0.0030542	0.0	-0.0049744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14634	-0.0039581	0.0	-0.10437	0.0	0.0	0.0	0.0	10.136	0.0	22.735	0.0	0.0	-0.0019109	0.065891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0006812	-0.11026	0.0	0.0	0.0	-44.174	0.07254	0.0016179	0.0	11.256	0.0	0.0	0.0	0.0	0.0	0.001312	-0.00014169	0.0	0.0	-4.0677	-26.201	0.0	0.0	0.0	0.0	0.0	0.0	0.059527	0.0	0.0	16.777	-0.026504	0.0	-27.248	0.0	0.0	1.8376	0.0	0.039401	0.018151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.435	0.0	0.0	0.0	0.13207	0.0	-0.020366	-5.311	0.074533	0.0	0.0	0.0	0.0	0.0	0.0	-0.077966	0.0	0.0	0.0	12.763	0.0	0.0	0.0	0.0	0.0062608
hsa-let-7e-3p	0.0	0.0	0.0	0.0	0.0	-0.016234	1.6899	-0.0071765	0.0	0.0	0.001264	-74.612	0.0	0.0	0.0	-0.0033723	0.0	0.0	-0.030147	0.0	0.0	0.0	-52.511	0.0	-0.017491	0.0	0.0	0.0	0.0	-0.0034388	0.0	0.0	0.0095509	0.0	0.0	0.0	0.0	0.0	40.006	0.0	0.0	0.0	0.0	0.0	0.0	-4.5903	-4.62	0.0	0.0	-0.006047	0.0	-40.844	0.0	0.0	0.0	0.0	0.0	0.0010538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.4363	-0.029628	0.0	0.0	0.0	0.0	0.0	0.0	-0.0020814	0.0	-0.033964	0.0022312	0.0	0.0	0.0	-13.209	0.0	0.0	13.046	-0.075477	0.0	0.0	-0.003912	0.0	17.202	0.0	-0.0013641	0.0	0.0	0.0	0.0	0.0	226.51	0.0	-0.044673	0.0	0.0	-0.0083784	0.0	-0.06884	61.64	-0.11333	0.0	-0.00050473	0.0	-0.0027946	0.0	0.0	0.0	0.0	0.0	-0.057943	0.0	0.0	0.0	0.0028486	0.0	0.023275	-0.089648	0.0	0.0	0.0	0.0	-0.60742	-66.158	0.0	0.0	-0.0027702	-0.015434	0.0	0.0	-0.77586	0.0	0.0	0.0	4.7551	-0.0050922	-2.5509	0.0	0.0	-0.18621	-80.373	0.0	-0.00085136	0.0	-11.922	0.0	0.0	-0.046693	0.0	0.0	-0.0095879	-0.0022833	0.0	0.0	-22.577	55.657	0.0	0.0	0.0	0.0	0.0	0.036566	0.020117	0.0	0.0	-1.8608	0.0	0.0	-34.753	0.0	0.0	1.1423	0.0	-0.0052027	-0.0020339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.053584	0.0	0.0	0.0	-0.01169	-18.057	-0.011387	0.0	0.0	0.0	0.0	-0.064656	0.0	0.079052	0.0	1.3269	0.0	-83.92	0.0	0.0	0.0	0.0	-0.0010262
