	ABL2	ACVR2A	AFF3	ALK	AMER1	APC	ARHGAP35	ARID1A	ARID1B	ARID2	ARNT	ASXL1	ASXL2	ATF7IP	ATM	ATR	ATRX	BAP1	BCL6	BCL9	BCL9L	BCOR	BCORL1	BRAF	BRCA2	BRD4	CACNA1A	CAMTA1	CARD11	CASP8	CCND1	CCND2	CCNE1	CD79B	CDH1	CDH11	CDK12	CDK4	CDK6	CDKN1A	CDKN1B	CDKN2A	CHD3	CHD4	CHD8	CIC	CLTC	CREBBP	CTCF	CTNNB1	CUX1	DDR2	DDX5	DEK	DICER1	DNMT1	EGFR	ELF3	ELK4	EP300	ERBB2	ERBB3	ERBB4	ERCC2	ESR1	ETV1	ETV5	EZH2	FAS	FAT1	FAT4	FBXW7	FCGR2B	FCRL4	FGFR1	FGFR2	FGFR3	FGFR4	FHIT	FLT4	FOXA1	FOXL2	FOXO1	FOXO3	FUBP1	GATA2	GATA3	GNAS	GRIN2A	GTF2I	H3F3A	HEY1	HIST1H3B	HLF	HMGA2	IDH1	IDH2	IKBKB	IKZF3	IL7R	INPPL1	IRS4	JAK1	JAK3	KANSL1	KAT6A	KDM5A	KDM6A	KDR	KEAP1	KIT	KLF5	KMT2A	KMT2B	KMT2C	KMT2D	KRAS	LPP	LRP1B	MACF1	MAP2K1	MAP2K4	MAP3K1	MAP3K13	MDM2	MDM4	MECOM	MED12	MET	MGA	MITF	MSI2	MTOR	MYC	MYCL	MYH9	NCOA2	NCOR1	NCOR2	NF1	NF2	NFATC2	NFE2L2	NIPBL	NKX2-1	NOTCH1	NOTCH2	NRAS	NRG1	NSD1	NTRK1	NTRK3	NUTM1	PBRM1	PBX1	PDGFRA	PIK3CA	PIK3CB	PIK3CG	PIK3R1	PLXNB2	POLE	POLQ	PPM1D	PPP2R1A	PRDM1	PREX2	PSIP1	PTEN	PTPN13	PTPRB	PTPRC	PTPRK	PTPRT	RAC1	RAD21	RAF1	RANBP2	RARA	RASA1	RB1	RBM10	RNF43	ROS1	RPL22	RUNX1T1	SALL4	SCAF4	SETBP1	SETD2	SMAD4	SMARCA4	SOS1	SOX17	SOX2	SOX9	SPEN	SPOP	STAG2	STIL	STK11	TCF7L2	TERT	TET1	TP53	TP63	TRRAP	TSC1	UBR5	UNCX	USP6	USP9X	VHL	WWTR1	ZBTB16	ZFHX3	ZNF521
X1433EPSILON	0.0	0.0	34.255	0.0	0.0	-0.019334	0.0	0.0	0.0	0.0	0.083519	0.0	184.25	5.4921	0.0	0.0	0.041945	0.0	0.0	0.012152	-0.0066016	0.0	25.352	0.12274	-0.010473	0.0	0.0	-22.631	0.0	42.838	0.080464	-7.379	0.0	0.0	0.016501	-164.01	-0.0018158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6857	0.0	0.0	0.0	-1.5349	1.5839	0.0	0.0	0.0	-0.77077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.23454	0.0	-4.4838	-0.041195	0.0	0.0	0.0	0.0	-0.43591	0.0	0.0020522	0.0	-43.918	0.0089048	0.0	0.0	0.0	33.534	0.0	0.0	2.5273	0.053341	0.0	0.032505	-0.10471	0.0	0.27743	0.0	0.0	29.439	-0.050741	0.0	3.9295	0.0	0.0	0.0	0.0	0.0	0.0	-0.5261	-49.338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023751	0.0	0.0	0.0	0.0	0.014307	-0.36817	0.0	0.0	0.00298	-0.021187	-8.2879	0.0	-0.0056122	0.0	0.0	0.0	0.0	0.0	0.0	-0.45649	-0.25309	0.0	-0.095084	114.92	0.0	0.0	-10.371	0.0	2.6227	-3.8454	0.0	0.0	-0.64101	0.0	0.42968	0.0	0.0	0.0	4.1403	0.0	0.0	0.0	0.68101	0.37658	-0.014047	0.0	0.68832	5.1625	1.6533	0.0	0.0	0.0	0.0	48.49	0.0	13.905	0.0	0.0	0.0	0.087957	-0.0071633	0.0	0.0	-0.090001	0.0	0.0	0.0	-0.03904	0.0	103.62	0.0	0.0	0.0	-0.48689	0.0	2.0654	0.0	0.0016781	-1.8162	0.0	0.0	0.0	-0.058503	0.0039313	0.0	0.0	0.0	-10.741	0.0	0.010779	0.0	0.0	0.0	0.0	0.0	77.614	0.0	-0.0055729	0.0	0.0	0.0	0.0	-0.3394	0.044853	0.0
X4EBP1	0.0	0.0	-40.167	0.0	0.0	0.096241	0.0	0.0	0.0	0.0	-0.19738	0.0	-60.039	-4.4211	0.0	0.0	0.02883	0.0	0.0	-0.02752	-0.0033945	0.0	0.0	0.026485	-0.01584	0.0	0.0	60.498	0.0	51.154	0.0	-6.7251	0.0	0.0	0.0010291	-84.043	-0.00039757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0742	0.0	0.0	0.0	0.30513	-0.7415	-0.094639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51648	0.0	-2.0583	0.0	0.0	0.0	0.0	0.0	6.5634	-0.52854	-0.0017787	0.59709	7.9629	-0.039712	0.0	0.0	0.0	-19.422	0.0	0.0	1.2675	0.0	0.0	-0.084784	-0.061601	0.0	1.3807	-1.4562	0.0	12.921	0.0	0.0	0.37416	0.0	0.19051	0.0	0.0	0.0	0.0	-1.838	123.63	0.0	0.13895	0.0	0.0	0.0	-0.11541	0.0	-0.0059576	0.0	0.0	0.0	0.0	0.027555	-1.2242	0.0	0.0	-0.0052987	0.011782	4.4523	0.0	-0.037156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011162	0.00062176	0.0	18.687	0.0	-0.018725	-40.664	0.0	-25.343	-1.0533	0.0	0.0	0.59975	0.10871	0.0	0.037897	0.0	0.0	-7.2272	0.0	0.0	0.0	-1.926	1.0915	0.0	0.0	-2.5227	2.5892	-140.09	0.0	0.0	0.0	-0.04248	59.691	0.0	-155.51	0.0	0.018921	0.075926	-0.012804	-0.0037369	0.0	0.0	0.019886	0.0	0.0	0.0	-0.079254	0.023916	20.027	0.0	0.0	0.0	0.0	0.0	-5.2809	0.0	0.0036072	0.36002	0.0	0.0	0.0	0.0	-0.0020348	-1.4538	-1.6686	0.0	-8.0191	0.0	-0.0034033	0.0	0.0	-0.063825	-0.087774	0.0	21.928	0.0	0.0044003	8.1121	0.0	0.0	0.0	0.38203	-0.0037534	0.0
X4EBP1_pS65	0.0	0.0	-48.007	0.0	0.0	0.028969	0.0	0.0	0.0	0.0	-0.048444	0.0	110.73	0.53491	0.0	0.0	0.0	0.0	-0.027923	-0.0072223	0.0070405	0.0	-17.207	0.018662	0.0044269	0.0	0.0	-71.434	0.0	35.888	0.0	-1.4385	0.12509	0.0	-0.013303	-34.884	0.0019213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-3.9523	0.0	0.0	0.0	-4.0727	-3.5054	0.14994	0.0	0.11499	0.040337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.33875	0.0	0.45544	-0.047681	0.0	0.0	0.0	0.0	7.0423	0.0	0.0027249	0.0	-41.803	-0.012001	-1.4901	0.0	0.0	-107.14	0.0	0.0	8.7228	0.0	0.0	0.0	0.0	0.0	1.7089	-1.1723	0.0	17.512	0.0	0.0	1.4338	0.0	0.0	0.0	0.0	0.0	0.0	-6.685	160.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0078993	0.0	0.0	0.0	0.0	0.051627	-0.81785	0.0	0.0	-0.0047594	0.009148	12.703	0.0	-0.039821	0.0	0.0	0.0	0.0	0.0	0.029662	-0.27502	0.025159	0.02885	0.0	-3.7861	0.33721	0.0	50.691	0.0	9.4622	2.1354	0.0	0.0	-1.8157	-0.051677	-0.59584	0.062264	0.0	0.0	-0.36141	0.0	0.0	0.0	2.1335	-2.3165	-0.0060589	0.0	6.2904	-10.806	110.63	0.0	0.0	0.0	0.0	86.22	0.0	83.437	-0.058557	0.0	0.0	0.14799	0.0034745	0.0	0.38214	-0.018534	0.0	0.0	0.0	0.031299	0.0	245.04	0.0	0.0	0.0	-0.14405	0.0	0.0	0.0	-0.0073209	0.57332	0.0	0.0	0.0	-1.8917e-05	-0.0030031	-1.1657	0.0	0.0	0.0	0.0	-0.0068982	-0.016798	0.0	0.0	0.0	0.0	26.241	0.0	0.0025413	7.6322	0.0	0.0	0.0	-0.65415	0.14189	0.0
X4EBP1_pT37T46	0.0	0.0	38.145	0.0	0.0	0.0086637	0.0	-0.074126	0.0	0.0	0.0127	0.0	174.59	-17.509	0.0	0.0	0.0	0.0	0.016656	-0.01035	-0.0016662	0.0	5.823	-0.057974	-0.0013401	0.0	0.0	17.984	0.0	-72.526	0.0	-11.958	0.0	0.0	-0.0037261	-1.5181	0.0056179	0.0	0.0	0.0	0.0	-0.064582	0.0	0.0	0.0	0.41741	0.0	0.0	-0.098981	-0.67975	-1.0436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0901	0.0	-2.1893	0.0	0.0	0.0	0.0	0.0	0.0	0.23548	0.0010581	0.16347	-38.703	0.0095114	0.0	0.0	0.0	-78.505	0.0	0.0	-1.1725	0.14468	0.038701	-0.10958	0.0	0.0	-2.3083	0.0	0.0	-27.717	0.0	0.0	0.0	0.0	0.096253	0.0	0.0	-0.20919	0.0	0.0	62.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0027196	0.0	0.0	0.0	0.0	-0.086654	0.16205	0.0	0.0	-0.00074057	0.0028454	-84.202	0.0	-0.015279	0.0	0.0	0.0	0.0	0.0	0.19052	-0.12167	0.31398	0.0	-1.7863	0.2899	0.27795	-0.093179	-26.902	0.0	-32.999	4.1721	0.0	0.0	-3.5735	0.14459	0.0	-0.030832	0.0	0.0	1.7031	0.0	0.0	0.0	0.73885	0.71109	0.0	0.0	1.5733	3.3884	-190.47	0.0	0.0	0.0	0.0	-3.3991	0.0	-1.1474	-0.20667	0.0	0.0	-0.029597	0.0025854	0.0	0.0	0.073276	0.0	0.0	0.0	-0.027527	0.085929	-174.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018262	-2.5906	0.0	0.0	0.93997	0.041767	-0.0010497	1.8282	0.28774	0.0	-15.426	0.0	-0.010132	0.0	0.0	0.11559	0.013053	0.0	24.774	0.0	0.0051666	0.0	0.0	0.0	0.0	-0.43252	-0.017955	0.0
X53BP1	0.22481	0.0	59.542	0.0	0.0	0.0066414	0.0	0.0	0.041212	0.0	0.13607	0.0	44.883	-10.909	0.0	0.0	0.0	0.0	0.0	0.017853	-0.0045011	0.0	5.5201	-0.0098663	-0.032346	0.0	0.0	-38.07	0.0	11.149	0.0	0.0	0.0	0.0	0.0073606	-101.3	-0.0046258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4418	7.0154	0.0	0.0	0.0	2.5366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047083	0.0	0.096789	0.0	0.0	0.0	0.0	0.0	21.764	0.0	-0.00018802	0.0	10.695	0.040578	0.0	0.0	0.0	64.265	0.0	0.0	-5.7513	0.044025	0.15291	0.0	0.0	0.0	2.8412	0.0	0.0	-14.03	0.0	0.0	-0.87396	0.0	0.0	-0.034582	0.0	0.0	0.0	-0.67141	135.37	0.0	0.0	0.0	0.0	0.0	0.069137	0.12428	0.0035272	0.0	0.0	0.0	0.0	-0.0054439	0.0	0.0	0.0	0.0017989	0.026734	-69.054	0.0	0.02267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21099	-0.068294	-0.39184	11.908	0.0	0.0	37.118	0.0	-18.483	0.65842	0.0	0.0	0.0	0.0	0.058354	0.13875	0.0	0.0	0.99361	0.0	0.0	0.0	-0.97333	2.972	0.051805	0.43188	-1.2313	0.0	-43.701	0.0	0.0	0.0	0.0	-19.368	0.0	8.2823	0.16416	0.0	0.0	0.064148	0.0024238	0.0	0.0	-0.010392	0.0	0.0	0.0	0.10901	-0.048523	-381.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006484	-0.51114	0.0	0.0	0.0	0.0	-0.0059199	0.0	-0.10918	0.0	-2.4775	0.0	-0.0062619	0.0	0.0	0.0	0.0	0.0	63.588	0.0	0.0010291	0.0	0.0	0.0	0.0	0.3956	0.048292	0.0
ACC_pS79	0.072476	0.0	12.97	0.0	0.0	0.11587	0.0	0.0	0.0	0.0	0.044019	0.0	-124.06	-33.129	0.0	0.0	-0.032482	0.0	0.0	-0.00033643	0.0019585	0.0	0.0	-0.087006	0.003697	0.0	0.0	1.1737	0.0	-17.08	0.0	-13.179	0.036024	0.0	-0.021548	67.601	0.0026459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4787	0.0	0.0	0.0	-1.7007	-1.872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.869	0.13659	0.0048532	0.0	-21.475	-0.012625	0.0	0.0	0.0	34.829	0.0	0.0	-6.9886	0.10925	0.0	-0.085516	0.0	0.0	-3.2927	0.0	0.033839	46.272	0.0	0.0	0.0	0.0	0.0	0.14262	0.0	0.0	0.0046839	1.1863	60.641	0.0	0.0	0.0	0.013171	0.0	0.0	0.0	0.0074223	0.0	0.0	0.0	0.0	-0.025454	-0.44014	0.0	0.0	0.0030315	0.0080087	-18.726	0.0	0.029013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.019418	0.065803	0.024685	-30.784	0.076302	0.0	11.889	0.0	-16.682	-2.0141	0.0	0.0	0.1943	0.0	0.0	0.0	0.0	0.0	0.72162	0.0	0.0	0.0	2.044	-1.9817	0.0	-0.75407	0.14799	-13.036	-97.694	0.0	0.0	0.0	0.0	-47.11	0.0	-30.456	-0.10231	0.0	0.0	-0.03275	0.007362	0.0	0.0	0.068351	0.0	0.0	0.031325	0.039568	0.0	66.689	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0047458	0.67957	0.0	0.0	0.0	0.0	0.0048451	0.0	0.0	0.0	6.8922	-0.0076447	0.0059958	0.057751	0.0	0.036537	0.0	0.0	45.623	0.0	0.010536	0.0	0.0	0.0	0.0	-0.026552	0.039835	0.0
ACC1	0.0	0.0	25.164	0.0	0.0	0.0084227	0.0	0.0	0.0	0.0	-0.0082546	0.0	0.0	-23.57	0.0	0.0	-0.097706	0.0	0.0	-0.012802	-0.00087037	0.0	10.85	-0.10047	0.012869	0.0	0.0	14.349	0.0	21.771	0.0	-2.3544	0.0	0.0	-0.038584	173.39	0.0010652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.2638	0.0	0.0	0.0	-0.24612	6.8075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.5373	0.0	0.0019087	0.0	5.2814	0.0013362	0.0	0.0	0.0	23.995	0.0	0.0	6.8105	0.19845	-0.069587	-0.17286	0.0	0.0	-2.8692	-1.2822	0.023629	-30.448	0.0	0.0	-0.8406	0.0	0.0	0.0	0.0	0.0	0.0	1.3066	52.18	0.0	0.0	0.0	0.018851	0.0	0.0	0.0	0.00044227	0.0	0.0	0.0	0.0	-0.049087	-0.66616	0.0	0.0	-0.0015251	0.017617	-29.093	0.0	0.017777	0.0	0.0	0.0	0.0	0.0	-0.11425	0.0	-0.029697	0.0	0.0	10.694	0.0	0.0	69.238	0.0	-8.5347	1.0195	0.0	0.0	-7.3723	0.0	0.0	0.041794	0.0	0.0	0.24093	0.0	0.0	0.0	-0.978	-1.8286	0.0	-2.0595	2.8615	5.5134	125.96	0.0	0.0	0.0	0.0	100.05	0.0	-7.2128	0.062097	0.0	0.0	0.037259	-7.3855e-05	0.0	0.0	0.019576	0.0	0.0	0.0063522	-0.00078645	0.0	-4.2842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.008736	-1.3588	0.0	0.0	0.0	0.0	0.0071115	0.1577	2.1027	0.0	5.9391	0.0	0.002392	0.08115	0.0	0.0	0.29602	0.0	32.501	0.0	0.0043242	0.0	0.0	0.0	0.0	-0.39725	0.026219	0.0
AKT	0.0	0.0	19.269	0.0	0.0	-0.088982	0.0	0.0	0.0	0.0	0.0079385	0.0	-140.18	-11.198	0.0	0.0	0.0	0.0	0.0	0.0026479	0.0030475	0.0	-6.1685	0.068697	-0.016831	0.0	-0.027938	31.691	0.0	42.981	0.0	6.0839	0.0	0.0	0.0071839	85.137	-0.0033501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3428	0.0	0.0	0.0	-5.3574	3.5102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006691	0.0	-3.1142	0.0	0.0	0.0	0.0	0.061236	14.398	0.0	-0.0016291	0.0	59.362	-0.018765	0.0	0.0	0.0	-58.654	0.0	0.0	-4.8872	0.0	0.073031	0.0	0.0	0.0	-3.4368	0.0	0.0	-73.624	0.0	0.0	-0.065447	0.0	0.0	0.0	0.0	0.0	0.0	6.548	-47.837	0.0	0.0	0.0	0.0	0.0	0.0	0.0077582	0.0026292	0.0	0.0	0.0	0.0	-0.0084532	1.2363	0.0	0.0	0.0026929	0.035586	49.619	0.0	-0.012135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02432	0.0	0.0	-2.1906	0.3964	0.0	23.339	0.0	30.123	3.0652	0.0	0.0	-7.0978	-0.29851	0.40582	0.027557	0.0	0.0	1.4459	0.0	0.0	0.0	1.1244	4.3025	0.0	0.0	1.1281	0.0	52.586	0.0	0.0	0.0	0.0	-54.399	0.0	51.79	-0.14978	0.0	0.0	-0.094545	0.0012961	0.0	0.0	-0.044064	0.0	0.0	0.0	0.07819	0.0	137.71	0.12656	0.0	0.0	0.0	0.0	0.0	0.0	3.0301e-05	0.90584	0.0	0.0	0.0	0.00651	-0.0048147	0.044846	0.0	0.0	0.0	0.0	-0.0017482	-0.094965	0.0	-0.055213	0.0	0.0	4.6316	0.0	5.9661e-05	-4.8848	0.0	0.106	0.0	0.0	-0.016306	0.0
AKT_pS473	-0.34295	0.0	38.499	0.0	0.0	-0.014591	0.0	0.16376	0.0	0.0	-0.13566	0.0	97.442	11.249	0.0	0.0	0.0	0.0	-0.066842	-0.03328	-0.00052435	0.0	-1.4487	0.053957	-0.0039214	0.0	0.0	0.0	0.0	51.953	-0.055921	-19.034	-0.072435	0.0	0.0014196	47.517	0.0087979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.94157	0.0	0.0	0.0	2.6147	-3.2018	0.0	0.0	0.0	-1.4863	-0.072932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.049888	0.0	0.0	-0.073255	0.0	0.0	0.0	0.0	0.0	-0.089124	-0.00020652	0.0	22.487	-0.0046281	0.0	0.0	0.0	-52.64	0.0	0.0	8.3754	0.0	0.16281	0.0	0.0	0.0	-3.82	-1.5883	0.0	-14.566	-0.13048	0.0	-1.8021	0.0	0.0	0.0	0.0	0.30449	0.0	1.0909	-4.2397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010705	0.0	0.0	0.0	0.0	-0.04012	-0.2552	0.0	0.0	0.0043832	-0.011993	34.564	0.0	-0.00041279	0.0	0.0	0.0	0.0	0.0	0.0	-0.17859	0.083702	0.0	0.59526	-57.963	-0.43989	0.0	52.077	0.0	-3.2922	-1.0862	0.0	0.0	-15.657	0.26207	0.0	-0.038025	0.0	0.0	-2.1997	0.0	0.074922	0.0	0.0	-2.8754	0.11924	0.061031	1.3966	10.927	0.0	0.0	0.0	0.0	-0.33079	82.348	0.0	-18.211	0.8283	0.0	0.0	-0.073089	0.0025912	0.0	0.0	-0.050528	0.0	0.0	0.0	0.046661	0.035281	-18.855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0054472	0.025873	0.0	0.0	0.0	-0.1044	0.0038003	-1.1619	-2.04	0.0	-4.0615	0.0	-0.0040594	0.0	0.0	0.0	-0.23079	0.0	-3.5785	0.0	-0.0018004	0.0	0.0	0.0	0.0	0.82952	0.018046	0.0
AKT_pT308	-0.31958	0.0	28.431	0.0	0.0	-0.061274	0.0	0.1786	0.0	0.0	-0.18125	0.0	67.768	0.98994	0.0	0.0	0.0	0.0	0.0	-0.041078	0.0041196	0.0	-0.87557	0.12335	-0.0023895	0.0	0.0	1.9644	0.0	3.1092	0.0	-8.6978	-0.15172	0.0	-0.0086984	-96.141	0.0086794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.011654	0.0	0.0	0.0	2.8345	-6.0354	-0.17234	0.0	-0.11794	-0.61177	-0.10068	0.0	0.0	0.0	0.0	-0.026418	0.0	0.0	-0.1965	0.0	-3.3171	0.0	0.0	0.36789	0.0	0.0	-3.0889	-0.6346	-0.0039323	0.0	-13.518	-0.013417	0.0	0.0	0.0	25.952	0.0	0.0	1.5252	0.0	0.0	0.0	0.0	0.0	-5.9961	0.0	-0.090979	-6.4635	0.0	0.0	-0.14902	0.0	-0.090771	0.0	0.0	0.046145	0.0	-0.3399	3.8868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0026723	0.0	0.0	0.0	0.0	-0.10908	0.0	0.0	0.0	0.003245	-0.0085253	22.228	0.0	0.011578	0.0	0.0	0.0	0.0	0.0	0.0	-0.013878	-0.046423	-0.17975	0.0	-18.442	-0.20245	0.0	63.496	0.0	-4.1691	2.5585	0.0	0.0	-15.251	0.0	-0.18184	-0.031969	-0.076217	0.09687	-4.2236	0.0	0.056111	0.0	-3.3954	1.0436	0.028336	0.0	3.0888	23.413	140.97	0.0	0.0	0.0	-0.17697	20.327	0.0	-117.35	0.52704	0.0	0.0	-0.054469	0.00072058	0.0	0.0	-0.17229	0.0	0.0	0.0	0.011998	0.0	29.165	0.0	0.0	0.0	-0.12635	0.0	-3.217	0.0	0.0051717	1.217	0.0	0.0	0.0	-0.030869	0.00055698	0.0	-1.1346	0.0	-9.8838	0.0	-0.0015291	0.0	0.0	-0.066054	0.0	0.0	-66.885	0.0	-0.0042928	0.0	0.0	0.0	0.0	0.68148	-0.0028197	0.0
